Code zone,Zone,Valeur,Année
2,Afghanistan,30552,2013
202,Afrique du Sud,52776,2013
3,Albanie,3173,2013
4,Algérie,39208,2013
79,Allemagne,82727,2013
7,Angola,21472,2013
8,Antigua-et-Barbuda,90,2013
194,Arabie saoudite,28829,2013
9,Argentine,41446,2013
1,Arménie,2977,2013
10,Australie,23343,2013
11,Autriche,8495,2013
52,Azerbaïdjan,9413,2013
12,Bahamas,377,2013
16,Bangladesh,156595,2013
14,Barbade,285,2013
57,Bélarus,9357,2013
255,Belgique,11104,2013
23,Belize,332,2013
53,Bénin,10323,2013
17,Bermudes,65,2013
19,Bolivie (État plurinational de),10671,2013
80,Bosnie-Herzégovine,3829,2013
20,Botswana,2021,2013
21,Brésil,200362,2013
26,Brunéi Darussalam,418,2013
27,Bulgarie,7223,2013
233,Burkina Faso,16935,2013
35,Cabo Verde,499,2013
115,Cambodge,15135,2013
32,Cameroun,22254,2013
33,Canada,35182,2013
40,Chili,17620,2013
96,Chine - RAS de Hong-Kong,7204,2013
128,Chine - RAS de Macao,566,2013
41,"Chine, continentale",1385567,2013
214,"Chine, Taiwan Province de",23330,2013
50,Chypre,1141,2013
44,Colombie,48321,2013
46,Congo,4448,2013
48,Costa Rica,4872,2013
107,Côte d'Ivoire,20316,2013
98,Croatie,4290,2013
49,Cuba,11266,2013
54,Danemark,5619,2013
72,Djibouti,873,2013
55,Dominique,72,2013
59,Égypte,82056,2013
60,El Salvador,6340,2013
225,Émirats arabes unis,9346,2013
58,Équateur,15738,2013
203,Espagne,46927,2013
63,Estonie,1287,2013
209,Eswatini,1250,2013
231,États-Unis d'Amérique,320051,2013
238,Éthiopie,94101,2013
185,Fédération de Russie,142834,2013
66,Fidji,881,2013
67,Finlande,5426,2013
68,France,64291,2013
74,Gabon,1672,2013
75,Gambie,1849,2013
73,Géorgie,4341,2013
81,Ghana,25905,2013
84,Grèce,11128,2013
86,Grenade,106,2013
89,Guatemala,15468,2013
90,Guinée,11745,2013
175,Guinée-Bissau,1704,2013
91,Guyana,800,2013
93,Haïti,10317,2013
95,Honduras,8096,2013
97,Hongrie,9955,2013
25,Îles Salomon,561,2013
100,Inde,1252140,2013
101,Indonésie,249866,2013
102,Iran (République islamique d'),77447,2013
103,Iraq,33765,2013
104,Irlande,4627,2013
99,Islande,330,2013
105,Israël,7733,2013
106,Italie,60990,2013
109,Jamaïque,2784,2013
110,Japon,127144,2013
112,Jordanie,7274,2013
108,Kazakhstan,16441,2013
114,Kenya,44354,2013
113,Kirghizistan,5548,2013
83,Kiribati,102,2013
118,Koweït,3369,2013
122,Lesotho,2074,2013
119,Lettonie,2050,2013
121,Liban,4822,2013
123,Libéria,4294,2013
126,Lituanie,3017,2013
256,Luxembourg,530,2013
154,Macédoine du Nord,2107,2013
129,Madagascar,22925,2013
131,Malaisie,29717,2013
130,Malawi,16363,2013
132,Maldives,345,2013
133,Mali,15302,2013
134,Malte,429,2013
143,Maroc,33008,2013
137,Maurice,1244,2013
136,Mauritanie,3890,2013
138,Mexique,122332,2013
141,Mongolie,2839,2013
273,Monténégro,621,2013
144,Mozambique,25834,2013
28,Myanmar,53259,2013
147,Namibie,2303,2013
149,Népal,27797,2013
157,Nicaragua,6080,2013
158,Niger,17831,2013
159,Nigéria,173615,2013
162,Norvège,5043,2013
153,Nouvelle-Calédonie,256,2013
156,Nouvelle-Zélande,4506,2013
221,Oman,3632,2013
226,Ouganda,37579,2013
235,Ouzbékistan,28934,2013
165,Pakistan,182143,2013
166,Panama,3864,2013
169,Paraguay,6802,2013
150,Pays-Bas,16759,2013
170,Pérou,30376,2013
171,Philippines,98394,2013
173,Pologne,38217,2013
70,Polynésie française,277,2013
174,Portugal,10608,2013
37,République centrafricaine,4616,2013
117,République de Corée,49263,2013
146,République de Moldova,3487,2013
120,République démocratique populaire lao,6770,2013
56,République dominicaine,10404,2013
116,République populaire démocratique de Corée,24895,2013
215,République-Unie de Tanzanie,49253,2013
183,Roumanie,21699,2013
229,Royaume-Uni,63384,2013
184,Rwanda,11777,2013
189,Sainte-Lucie,182,2013
188,Saint-Kitts-et-Nevis,54,2013
191,Saint-Vincent-et-les Grenadines,109,2013
244,Samoa,190,2013
193,Sao Tomé-et-Principe,193,2013
195,Sénégal,14133,2013
272,Serbie,9511,2013
197,Sierra Leone,6092,2013
199,Slovaquie,5450,2013
198,Slovénie,2072,2013
276,Soudan,37964,2013
38,Sri Lanka,21273,2013
210,Suède,9571,2013
211,Suisse,8078,2013
207,Suriname,539,2013
208,Tadjikistan,8208,2013
39,Tchad,12825,2013
167,Tchéquie (la),10702,2013
216,Thaïlande,67011,2013
176,Timor-Leste,1133,2013
217,Togo,6817,2013
220,Trinité-et-Tobago,1341,2013
222,Tunisie,10997,2013
213,Turkménistan,5240,2013
223,Turquie,74933,2013
230,Ukraine,45239,2013
234,Uruguay,3407,2013
155,Vanuatu,253,2013
236,Venezuela (République bolivarienne du),30405,2013
237,Viet Nam,91680,2013
249,Yémen,24407,2013
251,Zambie,14539,2013
181,Zimbabwe,14150,2013
